clave_casilla,clave_acta,id_estado,estado,id_distrito_federal,distrito_federal,seccion,id_casilla,tipo_casilla,ext_contigua,ubicacion_casilla,tipo_acta,total_boletas_sobrantes,total_personas_votaron,total_rep_partido_ci_votaron,total_votos_sacados,codigos_entregados_pmdc,codigos_sobrantes,codigos_utilizados,pan,pri,prd,pvem,pt,mc,morena,pes,rsp,fxm,cand_ind_1,cand_ind_2,cand_ind_3,pan_pri_prd,pan_pri,pan_prd,pri_prd,pvem_pt_morena,pvem_pt,pvem_morena,pt_morena,no_registrados,nulos,total_votos_asentado,total_votos_calculados,lista_nominal,representantes_pp_ci,observaciones,contabilizada,mecanismos_traslado,sha,fecha_hora_acopio,fecha_hora_captura,fecha_hora_verificacion,origen,digitalizacion,tipo_documento,cotejada
'010348B0100','010348B01002',1,AGUASCALIENTES,1,Jesús María,348,1,B,0,Urbana,Diputados MR,241,403,9,412,NO APLICA,NO APLICA,NO APLICA,94,2,21,5,6,4,241,6,11,10,-,-,-,Sin dato,Sin dato,Sin dato,Sin dato,-,-,-,-,Sin dato,12,412,412,609,44,['Sin dato'],1,D,4b3b1fb72a920146cd397c4471313a6e36bd40eecba3c70cac0aa4c7291adc9e,06/06/2021 21:17:31,06/06/2021 21:46:28,06/06/2021 21:46:52,CASILLA,Móvil,Acta PREP,1
'010348C0100','010348C01002',1,AGUASCALIENTES,1,Jesús María,348,1,C,0,Urbana,Diputados MR,255,398,0,Sin dato,NO APLICA,NO APLICA,NO APLICA,80,7,17,6,3,2,244,5,9,14,-,-,-,2,0,0,0,-,-,-,-,0,9,398,398,609,44,NA,1,D,2cf12bac825c5db55240a1fa34990b5bf5b8813257aea65e500462d72d54c17a,06/06/2021 20:29:19,06/06/2021 20:38:36,06/06/2021 20:39:30,CASILLA,Móvil,Acta PREP,1
'010348C0200','010348C02002',1,AGUASCALIENTES,1,Jesús María,348,2,C,0,Urbana,Diputados MR,260,375,0,393,NO APLICA,NO APLICA,NO APLICA,90,13,15,2,6,3,228,3,7,8,-,-,-,Sin dato,Sin dato,6,Sin dato,-,-,-,-,Sin dato,12,393,393,609,44,['Sin dato'],1,D,b087d3086bae9f14834a8bd87714ecec7b75f633b1e3491014cd39acb63ea293,07/06/2021 02:53:00,07/06/2021 03:04:27,07/06/2021 03:05:12,CATD,Escáner,Acta PREP,1
'010349B0100','010349B01002',1,AGUASCALIENTES,1,Jesús María,349,1,B,0,No Urbana,Diputados MR,280,420,3,420,NO APLICA,NO APLICA,NO APLICA,137,7,8,7,10,10,209,2,9,4,-,-,-,2,0,0,0,-,-,-,-,0,15,420,420,656,44,NA,1,D,021b023c9254afbc82124021e050ca977ed6b0a1f1b8e4c588f44efc7a874610,06/06/2021 20:40:42,06/06/2021 21:19:05,06/06/2021 21:19:45,CASILLA,Móvil,Acta PREP,1
'010349C0100','010349C01002',1,AGUASCALIENTES,1,Jesús María,349,1,C,0,No Urbana,Diputados MR,285,412,Ilegible,415,NO APLICA,NO APLICA,NO APLICA,131,6,10,7,9,7,220,2,5,3,-,-,-,Sin dato,Sin dato,1,Sin dato,-,-,-,-,Sin dato,14,415,415,656,44,['Sin dato'],1,D,6d53ae91d3c674176f83b066a3f9a5f194ab7d82eac1122a7d01db4f0b7bb41f,06/06/2021 21:11:44,06/06/2021 21:20:49,06/06/2021 21:21:50,CASILLA,Móvil,Acta PREP,1
'010349C0200','010349C02002',1,AGUASCALIENTES,1,Jesús María,349,2,C,0,No Urbana,Diputados MR,281,412,5,418,NO APLICA,NO APLICA,NO APLICA,112,11,8,2,6,7,236,3,12,8,-,-,-,0,0,0,0,-,-,-,-,0,13,418,418,655,44,NA,1,D,02d16a7032c94ad822d8ea61f833d09dcce9c8a68de6f1d4f63a481a06689138,06/06/2021 20:45:19,06/06/2021 21:13:25,06/06/2021 21:14:26,CASILLA,Móvil,Acta PREP,1
'010349C0300','010349C03002',1,AGUASCALIENTES,1,Jesús María,349,3,C,0,No Urbana,Diputados MR,292,407,3,407,NO APLICA,NO APLICA,NO APLICA,119,3,14,5,3,5,222,4,12,5,-,-,-,0,0,0,0,-,-,-,-,0,0,407,392,655,44,['Identificación por proceso técnico operativo'],1,D,00548038dc9d17af89831741f1afd7ab363b1d19e0e0c16b51e9c431f68d6298,07/06/2021 08:09:00,07/06/2021 09:36:14,07/06/2021 09:37:22,CATD,Escáner,Acta Consejo,1
'010350B0100','010350B01002',1,AGUASCALIENTES,1,Jesús María,350,1,B,0,No Urbana,Diputados MR,334,379,1,380,NO APLICA,NO APLICA,NO APLICA,94,14,12,9,5,3,213,10,3,3,-,-,-,0,0,0,0,-,-,-,-,0,14,380,380,670,44,NA,1,D,236c4e1b007df7072b420e9e1c234a4cf39e0cd6bed9bf380b866db03d616aba,07/06/2021 03:09:00,07/06/2021 03:13:01,07/06/2021 03:13:45,CATD,Escáner,Acta PREP,1
'010350C0100','010350C01002',1,AGUASCALIENTES,1,Jesús María,350,1,C,0,No Urbana,Diputados MR,359,354,1,355,NO APLICA,NO APLICA,NO APLICA,109,16,10,4,2,6,172,12,7,4,-,-,-,0,0,0,0,-,-,-,-,0,13,355,355,670,44,NA,1,D,52469cff90205026b59c5638b5d301553c86d11dbb94d3f42e100a981a84245e,07/06/2021 02:52:00,07/06/2021 04:21:34,07/06/2021 04:22:10,CATD,Escáner,Acta PREP,1
'010350C0200','010350C02002',1,AGUASCALIENTES,1,Jesús María,350,2,C,0,No Urbana,Diputados MR,337,376,1,376,NO APLICA,NO APLICA,NO APLICA,112,7,8,12,7,4,185,5,7,7,-,-,-,0,0,0,0,-,-,-,-,0,22,376,376,669,44,NA,1,D,6493a614e01d156a91b1c07a79dd09ccace42c2093c7fdecd55edc2d1a49c895,07/06/2021 03:06:00,07/06/2021 03:33:43,07/06/2021 03:34:25,CATD,Escáner,Acta PREP,1
