fecha,hora_utc,clase_de_vuelo_todos_los_vuelos,clasificacion_vuelo,tipo_de_movimiento,aeropuerto,origen_destino,aerolinea_nombre,aeronave,pasajeros,calidad_dato
13/12/2021,16:24:00,Regular,Domestico,Aterrizaje,AER,IGU,AEROLINEAS ARGENTINAS SA,BO-B737-8,81,DEFINITIVO
22/01/2021,16:06:00,Regular,Domestico,Aterrizaje,ROS,EZE,AEROLINEAS ARGENTINAS SA,EMB-ERJ190100IGW,18,DEFINITIVO
03/01/2021,14:57:00,Regular,Domestico,Despegue,EZE,SAL,AEROLINEAS ARGENTINAS SA,EMB-ERJ190100IGW,43,DEFINITIVO
23/02/2021,17:11:00,No Regular,Internacional,Despegue,FDO,SULS,AERONAUTICA S.A.,BE-C-90-A,1,DEFINITIVO
02/11/2021,18:50:00,4N,Domestico,Aterrizaje,FDO,ATE,0,TEA-P2006T,0,DEFINITIVO
04/09/2021,21:38:00,Vuelo Privado con Matrícula Nacional,Domestico,Despegue,MLG,MLG,0,CE-182-C,2,DEFINITIVO
05/11/2021,18:28:00,1N,Domestico,Aterrizaje,DOZ,DOP,0,PA-PA-46R-350T,2,DEFINITIVO
02/04/2021,21:42:00,Vuelo Escuela,Domestico,Despegue,MOR,FDO,0,PA-PA-28R-200,0,DEFINITIVO
11/04/2021,15:55:00,Vuelo Escuela,Domestico,Aterrizaje,MOR,MOR,0,CE-152,0,DEFINITIVO
28/04/2021,22:00:00,Vuelo Oficial Nacional,Domestico,Despegue,RYD,RYD,0,0,0,DEFINITIVO
28/10/2021,21:09:00,Regular,Domestico,Aterrizaje,FSA,AER,AEROLINEAS ARGENTINAS SA,EMB-ERJ190100IGW,46,DEFINITIVO
