fecha,hora_utc,clase_de_vuelo_todos_los_vuelos,clasificacion_vuelo,tipo_de_movimiento,aeropuerto,origen_destino,aerolinea_nombre,aeronave,pasajeros,calidad_dato
01/01/2021,12:14:00,Regular,Domestico,Aterrizaje,BAR,EZE,AEROLINEAS ARGENTINAS SA,BO-B737-81D,80,DEFINITIVO
01/01/2021,12:22:00,Vuelo Privado con Matrícula Nacional,Internacional,Despegue,FDO,2522,0,BE-G36,0,DEFINITIVO
01/01/2021,12:25:00,Regular,Domestico,Despegue,BAR,EZE,AEROLINEAS ARGENTINAS SA,BO-737-800,1,DEFINITIVO
01/01/2021,12:30:00,Regular,Domestico,Aterrizaje,CRV,EZE,AEROLINEAS ARGENTINAS SA,BO-737-8BK,28,DEFINITIVO
01/01/2021,12:30:00,Regular,Domestico,Despegue,SAL,EZE,AEROLINEAS ARGENTINAS SA,BO-B-737-76N,53,DEFINITIVO
01/01/2021,12:31:00,Regular,Domestico,Aterrizaje,CBA,EZE,AEROLINEAS ARGENTINAS SA,BO-B737-8LP,66,DEFINITIVO
01/01/2021,12:35:00,Regular,Domestico,Despegue,BAR,EZE,FB LÍNEAS AÉREAS - FLYBONDI,BO-737-86J,40,DEFINITIVO
01/01/2021,12:38:00,Trabajo Aéreo,Domestico,Despegue,DIA,CHJ,0,CE-A-188-B,0,DEFINITIVO
01/01/2021,12:39:00,Regular,Domestico,Aterrizaje,USU,EZE,AEROLINEAS ARGENTINAS SA,BO-737-8SH,71,DEFINITIVO
01/01/2021,12:47:00,Regular,Domestico,Aterrizaje,MDP,EZE,AEROLINEAS ARGENTINAS SA,EMB-ERJ190100IGW,42,DEFINITIVO
01/01/2021,12:53:00,Regular,Domestico,Aterrizaje,EZE,NEU,AEROLINEAS ARGENTINAS SA,BO-B737-800,46,DEFINITIVO
01/01/2021,13:02:00,Regular,Domestico,Aterrizaje,EZE,BAR,AEROLINEAS ARGENTINAS SA,BO-737-800,1,DEFINITIVO
