entidad,num_dtto,nom_dtto,cargo,fuerza_politica,siglas,nombre_completo,total_gastos
VERACRUZ,Distrito 8,XALAPA,DIPUTACION FEDERAL MR,REDES SOCIALES PROGRESISTAS,RSPPPN,DIANA RETURETA BONILLA,61638.71
MEXICO,Distrito 24,"NAUCALPAN DE JUAREZ",DIPUTACION FEDERAL MR,REDES SOCIALES PROGRESISTAS,RSPPPN,CLAUDIA OCHOA GONZALEZ,79523.84
MEXICO,Distrito 26,TOLUCA DE LERDO,DIPUTACION FEDERAL MR,VA POR MEXICO,VA POR MEXICO,MELISSA ESTEFANIA VARGAS CAMACHO,1248777.31
QUINTANA ROO,Distrito 2,CHETUMAL,DIPUTACION FEDERAL MR,VA POR MEXICO,VA POR MEXICO,JOSE ALBERTO ALONSO OVANDO,1343753.43
MORELOS,Distrito 4,JOJUTLA,DIPUTACION FEDERAL MR,JUNTOS HACEMOS HISTORIA,JUNTOS HACEMOS HISTORIA,BRENDA ESPINOZA LOPEZ,1104678
GUANAJUATO,Distrito 9,IRAPUATO,DIPUTACION FEDERAL MR,REDES SOCIALES PROGRESISTAS,RSPPPN,MAURICIO HERNANDEZ BUSTAMANTE,58485.55
GUANAJUATO,Distrito 10,URIANGATO,DIPUTACION FEDERAL MR,REDES SOCIALES PROGRESISTAS,RSPPPN,BENHUR SAMANO LOPEZ,58485.55
MEXICO,Distrito 13,ECATEPEC DE MORELOS,DIPUTACION FEDERAL MR,REDES SOCIALES PROGRESISTAS,RSPPPN,JAIME ALBARRAN TENORIO,91047.27
MEXICO,Distrito 40,SAN MIGUEL ZINACANTEPEC,DIPUTACION FEDERAL MR,VA POR MEXICO,VA POR MEXICO,JAVIER GONZALEZ ZEPEDA,1126779.74
DURANGO,Distrito 1,VICTORIA DE DURANGO,DIPUTACION FEDERAL MR,VA POR MEXICO,VA POR MEXICO,FRANCISCO JAVIER CASTRELLON GARZA,1272742.66
QUINTANA ROO,Distrito 1,PLAYA DEL CARMEN,DIPUTACION FEDERAL MR,VA POR MEXICO,VA POR MEXICO,ANGY ESTEFANIA MERCADO ASENCIO,1281919.89
CHIHUAHUA,Distrito 1,JUAREZ,DIPUTACION FEDERAL MR,PARTIDO ENCUENTRO SOLIDARIO,PES,MYRNA JUDITH BARAJAS MARTINEZ,89000.49
TABASCO,Distrito 1,MACUSPANA,DIPUTACION FEDERAL MR,VA POR MEXICO,VA POR MEXICO,ELSA MARGARITA BROWN LARA,1128400.57
CHIHUAHUA,Distrito 9,HIDALGO DEL PARRAL,DIPUTACION FEDERAL MR,VA POR MEXICO,VA POR MEXICO,MARIA DE LOS ANGELES GUTIERREZ VALDEZ,864488.5
GUANAJUATO,Distrito 11,LEON,DIPUTACION FEDERAL MR,REDES SOCIALES PROGRESISTAS,RSPPPN,JUAN VICTOR MANUEL TRUJILLO LOPEZ,67352.27
CHIHUAHUA,Distrito 6,CHIHUAHUA,DIPUTACION FEDERAL MR,PARTIDO ENCUENTRO SOLIDARIO,PES,YOSHI ALEJANDRA VILLALOBOS SOTO,88999.01
GUANAJUATO,Distrito 15,IRAPUATO,DIPUTACION FEDERAL MR,REDES SOCIALES PROGRESISTAS,RSPPPN,RAQUEL ADELAIDA CAMARILLO JUAREZ,69711.79
DURANGO,Distrito 1,VICTORIA DE DURANGO,DIPUTACION FEDERAL MR,PARTIDO ENCUENTRO SOLIDARIO,PES,MARCELA MARIA GAMERO DE LA HOYA,86463.02
BAJA CALIFORNIA,Distrito 7,MEXICALI,DIPUTACION FEDERAL MR,JUNTOS HACEMOS HISTORIA,JUNTOS HACEMOS HISTORIA,JUAN ISAIAS BERTIN SANDOVAL,878225.71
MEXICO,Distrito 2,SANTA MARIA TULTEPEC,DIPUTACION FEDERAL MR,VA POR MEXICO,VA POR MEXICO,AIDE LOPEZ JIMENEZ,1139218.4
SINALOA,Distrito 3,GUAMUCHIL,DIPUTACION FEDERAL MR,REDES SOCIALES PROGRESISTAS,RSPPPN,SANDRO ALONSO NAVARRO MONTOYA,64970.87
CHIAPAS,Distrito 1,PALENQUE,DIPUTACION FEDERAL MR,JUNTOS HACEMOS HISTORIA,JUNTOS HACEMOS HISTORIA,MANUELA DEL CARMEN OBRADOR NARVAEZ,933839.59
SINALOA,Distrito 6,MAZATLAN,DIPUTACION FEDERAL MR,REDES SOCIALES PROGRESISTAS,RSPPPN,YOLANDA INES IBARRA TOLEDO,49648.79
SONORA,Distrito 3,HERMOSILLO,DIPUTACION FEDERAL MR,JUNTOS HACEMOS HISTORIA,JUNTOS HACEMOS HISTORIA,LORENIA IVETH VALLES SAMPEDRO,1086305.86
TLAXCALA,Distrito 1,APIZACO,DIPUTACION FEDERAL MR,VA POR MEXICO,VA POR MEXICO,JULIO CESAR HERNANDEZ MEJIA,1240791.02
MEXICO,Distrito 15,CIUDAD ADOLFO LOPEZ MATEOS,DIPUTACION FEDERAL MR,FUERZA POR MÉXICO,FS X MÉXICO,EVELIN JEANETTE MONDRAGON MENDOZA,228238.35
DURANGO,Distrito 2,GOMEZ PALACIO,DIPUTACION FEDERAL MR,JUNTOS HACEMOS HISTORIA,JUNTOS HACEMOS HISTORIA,OMAR ENRIQUE CASTAÑEDA GONZALEZ,987789.69
