folio,punto,edo,mun,secc,latitude,longitude,tipo_secc,df,fecha,int,p05,p06,p07,p08,p09a,p10a,p09b,p10b,p09c,p10c,p09d,p10d,p11,p12,p13,p14,p15,p16,bol1,bol2,bol3,bol1_rec,bol2_rec,bol3_rec,edadrec,nse_1,nse_2,nse_3,nse_4,nse_5,nse_6,nse_suma,nse,pond
337,34,HIDALGO,TULANCINGO DE BRAVO,1539,20.064608333,-98.341625,3,4,2018-06-21,9,1,1,48,2,1,99,1,2,1,99,2,NA,98,98,98,2,8,1,NA,NA,NA,NA,NA,NA,4,0,24,0,0,15,12,51,6,2.5010943339594682
338,34,HIDALGO,TULANCINGO DE BRAVO,1539,20.065601667,-98.341065,3,4,2018-06-21,10,1,1,28,1,1,3,1,1,1,2,1,2,1,2,2,7,6,97,8,8,8,3,3,3,2,0,47,37,31,61,17,193,2,3.7504429189763147
339,34,HIDALGO,TULANCINGO DE BRAVO,1539,20.065835,-98.340941667,3,4,2018-06-21,3,1,1,47,1,2,NA,1,1,2,NA,2,NA,97,2,2,5,6,7,8,8,8,3,3,3,4,31,24,18,31,0,12,116,4,2.619858099949968
340,34,HIDALGO,TULANCINGO DE BRAVO,1539,20.065851667,-98.340738333,3,4,2018-06-21,2,1,1,31,1,1,3,1,2,1,99,1,2,97,2,2,3,2,1,8,NA,8,3,NA,3,2,10,24,37,0,15,6,92,5,3.7504429189763147
341,35,JALISCO,AHUALULCO DE MERCADO,35,NA,NA,2,1,2018-06-21,12,1,1,19,2,1,2,1,2,1,2,2,NA,1,2,2,6,4,1,8,8,1,3,3,1,1,35,47,0,31,61,17,191,2,0.6616941633713841
342,35,JALISCO,AHUALULCO DE MERCADO,35,NA,NA,2,1,2018-06-21,3,1,1,39,2,2,NA,1,2,2,NA,2,NA,1,2,2,5,8,1,8,8,8,3,3,3,3,31,24,0,31,0,6,92,5,0.7360874676726008
343,35,JALISCO,AHUALULCO DE MERCADO,35,NA,NA,2,1,2018-06-21,6,1,1,44,2,1,2,1,2,1,2,1,2,1,2,2,5,8,1,4,8,8,3,3,3,3,31,24,37,0,46,17,155,3,0.831915291820098
344,35,JALISCO,AHUALULCO DE MERCADO,35,NA,NA,2,1,2018-06-21,7,1,1,22,1,1,3,1,1,1,2,1,2,2,2,2,5,1,1,8,8,8,3,3,3,1,10,0,37,0,46,12,105,5,0.7833479014799226
345,35,JALISCO,AHUALULCO DE MERCADO,35,NA,NA,2,1,2018-06-21,6,1,1,23,1,1,3,1,1,1,2,1,3,2,2,2,9,9,1,8,8,8,3,3,3,1,31,24,18,31,31,12,147,3,0.7833479014799226
346,35,JALISCO,AHUALULCO DE MERCADO,35,NA,NA,2,1,2018-06-21,8,1,1,23,1,1,2,1,2,1,2,1,2,1,1,2,9,5,1,1,4,4,1,3,3,1,23,24,18,0,46,17,128,4,1.0590001585146676
347,35,JALISCO,AHUALULCO DE MERCADO,35,NA,NA,2,1,2018-06-21,10,1,1,25,1,1,2,1,2,2,NA,2,NA,1,2,2,3,11,97,8,8,8,3,3,3,1,23,24,0,31,31,12,121,4,0.7833479014799226
348,35,JALISCO,AHUALULCO DE MERCADO,35,NA,NA,2,1,2018-06-21,6,1,1,30,2,1,1,1,1,1,2,1,1,1,2,2,5,6,1,2,2,5,2,2,2,2,31,0,18,0,31,12,92,5,1.4383341267704015
349,35,JALISCO,AHUALULCO DE MERCADO,35,NA,NA,2,1,2018-06-21,4,1,1,39,1,1,2,1,2,1,2,1,3,2,2,2,5,11,1,8,6,8,3,1,3,3,0,47,18,0,31,17,113,4,0.8714185571308585
350,35,JALISCO,AHUALULCO DE MERCADO,35,NA,NA,2,1,2018-06-21,9,1,1,57,1,1,3,1,2,1,2,1,2,2,2,2,3,10,1,8,6,6,3,1,1,5,22,24,18,0,15,12,91,5,1.152025511872587
351,36,JALISCO,CAÑADAS DE OBREGON,2856,NA,NA,3,3,2018-06-22,38,1,1,28,2,1,3,1,3,1,3,1,2,97,2,2,6,8,1,11,10,6,5,4,1,2,22,24,18,0,31,6,101,5,1.0116338102969868
352,36,JALISCO,CAÑADAS DE OBREGON,2856,NA,NA,3,3,2018-06-22,1,1,1,35,2,1,2,1,3,2,NA,2,NA,1,1,1,3,8,1,1,1,1,1,1,1,2,22,24,0,0,15,12,73,6,1.2100825348426394
353,36,JALISCO,CAÑADAS DE OBREGON,2856,NA,NA,3,3,2018-06-22,1,1,1,34,2,1,2,1,2,1,2,2,NA,2,2,2,3,8,97,NA,NA,NA,NA,NA,NA,2,22,24,0,31,31,23,131,4,0.9423840890321612
354,36,JALISCO,CAÑADAS DE OBREGON,2856,NA,NA,3,3,2018-06-22,2,1,1,67,2,1,2,1,2,1,2,1,2,2,1,1,2,8,1,5,5,NA,2,2,NA,5,10,24,0,31,31,17,113,4,0.915788213598636
355,36,JALISCO,CAÑADAS DE OBREGON,2856,NA,NA,3,3,2018-06-22,6,1,1,49,1,1,99,1,3,1,99,1,2,1,1,98,3,2,1,1,1,1,1,1,1,4,10,24,18,0,15,6,73,6,1.0007084856095707
